Hw,Lw,tw,fc,rv,fyv,rh,fyh,rL,fyL,N,tf,Hf,Vu
750,2250,80,26,0.0049,623.7,0.0047,623.7,0.0081,358.9,369.7,250,250,654.1
750,2250,80,24.6,0.0016,623.7,0.0014,623.7,0.0081,358.9,367.5,250,250,559
750,2250,80,26,0.0016,623.7,0.0014,623.7,0.0081,358.9,369.7,250,250,524.7
750,2250,50,24.6,0.0026,623.7,0.0022,623.7,0.0081,358.9,368.1,250,250,466.8
750,2250,50,26,0.0079,623.7,0.0076,623.7,0.0081,358.9,368.6,250,250,783.6
625,600,30,23.5,0.0023,293.2,0.0021,293.2,0.0251,208.9,0,100,100,49
625,600,30,27.2,0.0023,293.2,0.0021,293.2,0.0251,208.9,29.4,100,100,66.2
625,600,30,26.9,0.0023,293.2,0.0021,293.2,0.0251,208.9,62.9,100,100,76
625,600,30,25.7,0.0023,293.2,0.0021,293.2,0.0251,208.9,125.4,100,100,86.3
575,600,30,18.6,0.0024,261.8,0.0024,261.8,0.0252,212.8,0,100,100,34.3
575,600,30,18.6,0.0024,261.8,0.0024,261.8,0.0252,212.8,0,100,100,36.8
625,600,30,29.9,0.0023,293.2,0.0021,293.2,0.0252,208.9,63,100,100,58.8
625,600,30,25.2,0.0021,475.6,0.002,475.6,0.0272,276.2,0,100,150,72.6
625,600,30,28.3,0.0021,475.6,0.002,475.6,0.0261,221.1,41.3,100,150,68.6
625,600,30,28,0.0021,475.6,0.002,475.6,0.0261,221.1,82.2,100,150,78.5
625,600,30,29,0.0021,475.6,0.002,475.6,0.0261,221.1,123.7,100,150,102
1200,2300,75,23.2,0.0019,335.4,0.0019,335.4,0.0255,467.8,0,250,250,966
1200,2300,80,33,0.0018,335.4,0.0018,335.4,0.0255,467.8,0,250,250,931.6
1200,1550,80,17.4,0.0017,485.4,0.0018,485.4,0.0255,467.8,0,250,250,608
150,430,30,22.5,0,0,0,0,0.0068,382.5,0,30,150,24.9
150,430,30,22.5,0.0036,382.5,0.0041,382.5,0.0068,382.5,0,30,150,20.7
150,430,30,16.9,0.0036,382.5,0.0041,382.5,0.0068,382.5,0,30,150,17.4
150,430,30,16.9,0.0037,333.4,0.0042,333.4,0.0068,382.5,0,30,150,19.1
150,430,30,16.9,0.0036,382.5,0.0041,382.5,0.0068,382.5,0,30,150,22.8
150,430,30,16.1,0.0036,382.5,0.0041,382.5,0.0068,382.5,0,30,150,19
150,430,30,16.1,0.0036,382.5,0.0041,382.5,0.0068,382.5,0,30,150,20.8
150,430,25,26.5,0.0043,402.1,0.0049,402.1,0.0071,402.1,0,30,145,28.4
150,430,23,17.9,0.0047,402.1,0.0054,402.1,0.0071,402.1,0,30,145,24.5
150,430,25,17.9,0.0044,323.6,0.005,323.6,0.0071,402.1,0,30,145,26
150,430,20,15.4,0.0055,323.6,0.0063,323.6,0.0071,402.1,0,30,145,26
150,430,23,19.9,0.007,323.6,0.0073,323.6,0.0071,402.1,0,30,145,29.4
150,430,24,18.6,0.0067,323.6,0.007,323.6,0.0071,402.1,0,30,145,27.5
355,430,23,14.2,0,0,0,0,0.0152,407.3,0,30,145,18.1
355,430,24,14.2,0,0,0,0,0.0152,407.3,0,30,145,16.4
355,430,27,14.2,0.004,402.1,0.0039,402.1,0.0152,407.3,0,30,145,24.5
355,430,24,14.2,0.0045,323.6,0.0043,323.6,0.0152,407.3,0,30,145,23.5
355,430,22,16.2,0.005,323.6,0.0048,323.6,0.0152,407.3,0,30,145,20
355,430,16,13.8,0.0069,323.6,0.0066,323.6,0.0152,407.3,0,30,145,19.1
355,430,22,17.9,0.0073,323.6,0.0072,323.6,0.0152,407.3,0,30,145,24.7
355,430,22,16.8,0.0073,323.6,0.0072,323.6,0.0152,407.3,0,30,145,25.9
200,420,20,13.7,0,0,0,0,0.0179,342.8,0,60,60,36.7
200,420,20,13.7,0.0052,323.6,0.0052,323.6,0.0179,342.8,0,60,60,48.7
200,420,20,19.1,0,0,0,0,0.0318,334.5,0,60,60,37.3
200,420,20,18,0,0,0,0,0.0318,334.5,0,60,60,37.5
200,420,20,19.1,0.0052,323.6,0.0052,323.6,0.0318,334.5,0,60,60,43.1
200,420,20,18,0.0052,323.6,0.0052,323.6,0.0318,334.5,0,60,60,48.4
200,420,20,16.7,0,0,0,0,0.0462,294.2,0,60,60,35.3
200,420,20,15.2,0,0,0,0,0.0462,294.2,0,60,60,34.3
200,420,20,15.2,0,0,0,0,0.0462,294.2,0,60,60,32.4
200,420,20,29.4,0.0026,372.7,0.0026,372.7,0.0308,294.2,0,60,60,45.1
1200,2300,74,24.1,0.0018,549.2,0.0018,549.2,0.0254,418.7,0,250,250,833.6
1200,2300,83,25.2,0.0007,460.9,0.0007,460.9,0.0254,418.7,0,250,250,804.1
1600,1700,160,17.3,0.0051,407,0.0026,419.2,0.0568,418.7,0,170,160,809
1600,1700,160,20.8,0.0051,407,0.0026,419.2,0.0568,376.6,531.8,170,160,725.7
1600,1700,160,20.8,0.0051,407,0.0057,421.6,0.0568,376.6,531.8,170,160,814
1600,1700,160,13.7,0.0051,407,0.0057,421.6,0.0568,376.6,532.9,170,160,814
1600,1700,160,14.7,0.0051,407,0.0108,415.2,0.0568,376.6,531.8,170,160,804.1
1600,1700,160,18.3,0.0051,407,0.0108,415.2,0.0568,376.6,532.6,170,160,912
1600,1700,160,20.8,0.0051,407,0.0061,420.7,0.0251,382.3,531.8,170,160,686.5
1600,1700,160,13.7,0.0051,407,0.0061,420.7,0.0251,382.3,532.9,170,160,617.8
1600,1700,160,14.7,0.0051,407,0.0108,415.2,0.0251,382.3,531.8,170,160,706.1
1600,1700,160,18.3,0.0051,407,0.0108,415.2,0.0251,382.3,532.6,170,160,760
1600,850,160,20.8,0.004,407,0.0057,421.6,0.0991,380.4,265.9,85,160,321.2
1600,850,160,17.8,0.004,407,0.0057,421.6,0.0991,380.4,266.3,85,160,333.4
1600,850,160,17.8,0.004,407,0.0108,415.2,0.0844,377.6,266.3,85,160,323.6
1600,850,160,23.2,0.004,407,0.0108,415.2,0.0844,377.6,268.2,85,160,367.7
300,420,20,63.4,0,0,0,0,0.0701,315.8,0,60,40,38.6
300,420,40,63.4,0,0,0,0,0.1002,315.8,0,42,40,50.4
450,570,20,32.1,0,0,0,0,0.047,367.7,0,60,60,51
450,570,30,32.2,0,0,0,0,0.047,367.7,0,60,60,39.2
450,570,40,33.3,0,0,0,0,0.047,367.7,0,60,60,58.8
450,570,10,31.9,0.0367,284.4,0.0367,284.4,0.047,367.7,0,60,60,46.1
450,570,20,34.3,0.0183,284.4,0.0183,284.4,0.047,367.7,0,60,60,62.8
450,570,20,30.1,0.0183,284.4,0.0183,284.4,0.047,367.7,0,60,60,74.5
450,570,20,34.9,0.0183,284.4,0.0183,284.4,0.047,367.7,0,60,60,62.8
450,570,30,35.6,0.0122,284.4,0.0122,284.4,0.047,367.7,0,60,60,94.1
450,570,30,34.3,0.0122,284.4,0.0122,284.4,0.047,367.7,0,60,60,89.6
450,570,30,33.8,0.0122,284.4,0.0122,284.4,0.047,367.7,0,60,60,86.3
450,570,40,32.9,0.0092,284.4,0.0092,284.4,0.047,367.7,0,60,60,98.1
450,570,40,35.3,0.0092,284.4,0.0092,284.4,0.047,367.7,0,60,60,97.1
450,570,40,35.8,0.0092,284.4,0.0092,284.4,0.047,367.7,0,60,60,102
450,570,10,45.8,0.0183,294.2,0.0183,294.2,0.047,292.7,0,60,60,42.7
450,570,10,43.4,0.0183,294.2,0.0183,294.2,0.047,292.7,0,60,60,43.8
450,570,20,43,0.0183,294.2,0.0183,294.2,0.047,292.7,0,60,60,68.6
450,570,20,48.7,0.0183,294.2,0.0183,294.2,0.047,292.7,0,60,60,70.6
450,570,30,40,0.0122,294.2,0.0122,294.2,0.047,292.7,0,60,60,70.6
450,570,30,46.1,0.0122,294.2,0.0122,294.2,0.047,292.7,0,60,60,76.5
450,570,40,45.3,0.0092,294.2,0.0092,294.2,0.047,292.7,0,60,60,78.5
450,570,40,42.6,0.0092,294.2,0.0092,294.2,0.047,292.7,0,60,60,77.5
450,570,10,46.3,0.0244,294.2,0.0244,294.2,0.047,292.7,0,60,60,55.2
450,570,10,46.9,0.0244,294.2,0.0244,294.2,0.047,292.7,0,60,60,57.1
450,570,10,45.6,0.0244,294.2,0.0244,294.2,0.047,292.7,0,60,60,58.1
450,570,20,43.7,0.0244,323.6,0.0244,323.6,0.047,292.7,0,60,60,81.9
450,570,20,43.9,0.0244,323.6,0.0244,323.6,0.047,292.7,0,60,60,76.5
450,570,20,45.1,0.0244,323.6,0.0244,323.6,0.047,292.7,0,60,60,79.9
450,570,30,45.4,0.0163,323.6,0.0163,323.6,0.047,292.7,0,60,60,74.5
450,570,30,43.1,0.0163,323.6,0.0163,323.6,0.047,292.7,0,60,60,83.9
450,570,30,44.4,0.0163,323.6,0.0163,323.6,0.047,292.7,0,60,60,84.5
450,570,40,43.8,0.0122,323.6,0.0122,323.6,0.047,292.7,0,60,60,86.3
450,570,40,43.1,0.0122,323.6,0.0122,323.6,0.047,292.7,0,60,60,78.5
450,570,40,40.8,0.0122,323.6,0.0122,323.6,0.047,292.7,0,60,60,91.9
813,507,67,30.2,0.0197,296.2,0.0189,296.2,0.0396,260.9,0,120,107,101
813,507,67,31.4,0.0197,296.2,0.0189,296.2,0.0826,302,0,120,107,161.8
813,507,67,29.9,0.0253,296.2,0.0258,296.2,0.0396,260.9,0,120,107,108.9
813,507,67,32.2,0.0253,296.2,0.0258,296.2,0.0827,302,0,120,107,174.6
